Timestamp,DayOfWeek,Category,Sales(USD),UnitsSold,ActivePromotion,TotalSales(USD),TotalUnitsSold,AverageSellingPrice(ASP)
2024-04-10,Wednesday,AirSolutions,24570.62,55,None,308875.77999999997,586,527.09
2024-04-10,Wednesday,Audio,15274.83,127,None,308875.77999999997,586,527.09
2024-04-10,Wednesday,HomeAppliances,80523.43,146,None,308875.77999999997,586,527.09
2024-04-10,Wednesday,IT,41257.59,49,None,308875.77999999997,586,527.09
2024-04-10,Wednesday,Mobile,58970.11,91,None,308875.77999999997,586,527.09
2024-04-10,Wednesday,TVs,88279.2,118,None,308875.77999999997,586,527.09
2024-04-11,Thursday,AirSolutions,22246.07,49,None,301295.04000000004,566,532.32
2024-04-11,Thursday,Audio,14433.06,120,None,301295.04000000004,566,532.32
2024-04-11,Thursday,HomeAppliances,77660.69,141,None,301295.04000000004,566,532.32
2024-04-11,Thursday,IT,40066.69,47,None,301295.04000000004,566,532.32
2024-04-11,Thursday,Mobile,63905.48,98,None,301295.04000000004,566,532.32
2024-04-11,Thursday,TVs,82983.05,111,None,301295.04000000004,566,532.32
2024-04-12,Friday,AirSolutions,26687.51,59,None,309000.58,601,514.14
2024-04-12,Friday,Audio,18124.24,151,None,309000.58,601,514.14
2024-04-12,Friday,HomeAppliances,67956.02,124,None,309000.58,601,514.14
2024-04-12,Friday,IT,43382.15,51,None,309000.58,601,514.14
2024-04-12,Friday,Mobile,60594.51,93,None,309000.58,601,514.14
2024-04-12,Friday,TVs,92256.15,123,None,309000.58,601,514.14
2024-04-13,Saturday,AirSolutions,29550.95,66,None,344391.36,672,512.49
2024-04-13,Saturday,Audio,20242.16,169,None,344391.36,672,512.49
2024-04-13,Saturday,HomeAppliances,76105.36,138,None,344391.36,672,512.49
2024-04-13,Saturday,IT,47120.42,55,None,344391.36,672,512.49
2024-04-13,Saturday,Mobile,74781.25,115,None,344391.36,672,512.49
2024-04-13,Saturday,TVs,96591.22,129,None,344391.36,672,512.49
2024-04-14,Sunday,AirSolutions,32024.54,71,None,376252.61,701,536.74
2024-04-14,Sunday,Audio,17203.01,143,None,376252.61,701,536.74
2024-04-14,Sunday,HomeAppliances,87861.68,160,None,376252.61,701,536.74
2024-04-14,Sunday,IT,49337.19,58,None,376252.61,701,536.74
2024-04-14,Sunday,Mobile,77092.14,119,None,376252.61,701,536.74
2024-04-14,Sunday,TVs,112734.05,150,None,376252.61,701,536.74
2024-04-15,Monday,AirSolutions,27036.23,60,SpringSale,371948.68,710,523.87
2024-04-15,Monday,Audio,18843.37,157,SpringSale,371948.68,710,523.87
2024-04-15,Monday,HomeAppliances,104898.53,191,SpringSale,371948.68,710,523.87
2024-04-15,Monday,IT,49271.4,58,SpringSale,371948.68,710,523.87
2024-04-15,Monday,Mobile,72562.8,112,SpringSale,371948.68,710,523.87
2024-04-15,Monday,TVs,99336.35,132,SpringSale,371948.68,710,523.87
2024-04-16,Tuesday,AirSolutions,23742.72,53,SpringSale,352124.74000000005,651,540.9
2024-04-16,Tuesday,Audio,16571.68,138,SpringSale,352124.74000000005,651,540.9
2024-04-16,Tuesday,HomeAppliances,77684.39,141,SpringSale,352124.74000000005,651,540.9
2024-04-16,Tuesday,IT,45293.0,53,SpringSale,352124.74000000005,651,540.9
2024-04-16,Tuesday,Mobile,68849.21,106,SpringSale,352124.74000000005,651,540.9
2024-04-16,Tuesday,TVs,119983.74,160,SpringSale,352124.74000000005,651,540.9
2024-04-17,Wednesday,AirSolutions,32393.42,72,SpringSale,417631.42,765,545.92
2024-04-17,Wednesday,Audio,18445.8,154,SpringSale,417631.42,765,545.92
2024-04-17,Wednesday,HomeAppliances,90340.26,164,SpringSale,417631.42,765,545.92
2024-04-17,Wednesday,IT,65091.01,77,SpringSale,417631.42,765,545.92
2024-04-17,Wednesday,Mobile,77445.76,119,SpringSale,417631.42,765,545.92
2024-04-17,Wednesday,TVs,133915.17,179,SpringSale,417631.42,765,545.92
2024-04-18,Thursday,AirSolutions,29276.09,65,SpringSale,354733.20000000007,676,524.75
2024-04-18,Thursday,Audio,18479.34,154,SpringSale,354733.20000000007,676,524.75
2024-04-18,Thursday,HomeAppliances,87246.51,159,SpringSale,354733.20000000007,676,524.75
2024-04-18,Thursday,IT,45972.0,54,SpringSale,354733.20000000007,676,524.75
2024-04-18,Thursday,Mobile,61793.96,95,SpringSale,354733.20000000007,676,524.75
2024-04-18,Thursday,TVs,111965.3,149,SpringSale,354733.20000000007,676,524.75
2024-04-19,Friday,AirSolutions,34849.5,77,SpringSale,430267.10000000003,816,527.29
2024-04-19,Friday,Audio,22454.57,187,SpringSale,430267.10000000003,816,527.29
2024-04-19,Friday,HomeAppliances,101274.99,184,SpringSale,430267.10000000003,816,527.29
2024-04-19,Friday,IT,62286.71,73,SpringSale,430267.10000000003,816,527.29
2024-04-19,Friday,Mobile,77154.79,119,SpringSale,430267.10000000003,816,527.29
2024-04-19,Friday,TVs,132246.54,176,SpringSale,430267.10000000003,816,527.29
2024-04-20,Saturday,AirSolutions,27382.77,61,SpringSale,417040.56999999995,770,541.61
2024-04-20,Saturday,Audio,18912.41,158,SpringSale,417040.56999999995,770,541.61
2024-04-20,Saturday,HomeAppliances,104723.37,190,SpringSale,417040.56999999995,770,541.61
2024-04-20,Saturday,IT,55497.73,65,SpringSale,417040.56999999995,770,541.61
2024-04-20,Saturday,Mobile,72730.36,112,SpringSale,417040.56999999995,770,541.61
2024-04-20,Saturday,TVs,137793.93,184,SpringSale,417040.56999999995,770,541.61
2024-04-21,Sunday,AirSolutions,29075.57,65,SpringSale,442000.35,830,532.53
2024-04-21,Sunday,Audio,22128.54,184,SpringSale,442000.35,830,532.53
2024-04-21,Sunday,HomeAppliances,105212.39,191,SpringSale,442000.35,830,532.53
2024-04-21,Sunday,IT,53938.5,63,SpringSale,442000.35,830,532.53
2024-04-21,Sunday,Mobile,90324.85,139,SpringSale,442000.35,830,532.53
2024-04-21,Sunday,TVs,141320.5,188,SpringSale,442000.35,830,532.53
2024-04-22,Monday,AirSolutions,29995.98,67,SpringSale,456894.06999999995,840,543.92
2024-04-22,Monday,Audio,20164.67,168,SpringSale,456894.06999999995,840,543.92
2024-04-22,Monday,HomeAppliances,112235.11,204,SpringSale,456894.06999999995,840,543.92
2024-04-22,Monday,IT,58130.81,68,SpringSale,456894.06999999995,840,543.92
2024-04-22,Monday,Mobile,87648.88,135,SpringSale,456894.06999999995,840,543.92
2024-04-22,Monday,TVs,148718.62,198,SpringSale,456894.06999999995,840,543.92
2024-04-23,Tuesday,AirSolutions,26275.44,58,SpringSale,427068.51,798,535.17
2024-04-23,Tuesday,Audio,21037.88,175,SpringSale,427068.51,798,535.17
2024-04-23,Tuesday,HomeAppliances,106213.21,193,SpringSale,427068.51,798,535.17
2024-04-23,Tuesday,IT,53911.69,63,SpringSale,427068.51,798,535.17
2024-04-23,Tuesday,Mobile,79463.05,122,SpringSale,427068.51,798,535.17
2024-04-23,Tuesday,TVs,140167.24,187,SpringSale,427068.51,798,535.17
2024-04-24,Wednesday,AirSolutions,25008.17,56,SpringSale,370512.92,698,530.82
2024-04-24,Wednesday,Audio,18895.69,157,SpringSale,370512.92,698,530.82
2024-04-24,Wednesday,HomeAppliances,86290.61,157,SpringSale,370512.92,698,530.82
2024-04-24,Wednesday,IT,51535.65,61,SpringSale,370512.92,698,530.82
2024-04-24,Wednesday,Mobile,72637.23,112,SpringSale,370512.92,698,530.82
2024-04-24,Wednesday,TVs,116145.57,155,SpringSale,370512.92,698,530.82
2024-04-25,Thursday,AirSolutions,29337.13,65,SpringSale,398486.18999999994,770,517.51
2024-04-25,Thursday,Audio,22419.28,187,SpringSale,398486.18999999994,770,517.51
2024-04-25,Thursday,HomeAppliances,100823.78,183,SpringSale,398486.18999999994,770,517.51
2024-04-25,Thursday,IT,53390.6,63,SpringSale,398486.18999999994,770,517.51
2024-04-25,Thursday,Mobile,76908.82,118,SpringSale,398486.18999999994,770,517.51
2024-04-25,Thursday,TVs,115606.58,154,SpringSale,398486.18999999994,770,517.51
2024-04-26,Friday,AirSolutions,25990.57,58,SpringSale,450407.73,856,526.18
2024-04-26,Friday,Audio,24260.37,202,SpringSale,450407.73,856,526.18
2024-04-26,Friday,HomeAppliances,110577.72,201,SpringSale,450407.73,856,526.18
2024-04-26,Friday,IT,56947.94,67,SpringSale,450407.73,856,526.18
2024-04-26,Friday,Mobile,90522.68,139,SpringSale,450407.73,856,526.18
2024-04-26,Friday,TVs,142108.45,189,SpringSale,450407.73,856,526.18
2024-04-27,Saturday,AirSolutions,28899.51,64,SpringSale,404144.77999999997,763,529.68
2024-04-27,Saturday,Audio,20467.67,171,SpringSale,404144.77999999997,763,529.68
2024-04-27,Saturday,HomeAppliances,95132.18,173,SpringSale,404144.77999999997,763,529.68
2024-04-27,Saturday,IT,54072.54,64,SpringSale,404144.77999999997,763,529.68
2024-04-27,Saturday,Mobile,79173.11,122,SpringSale,404144.77999999997,763,529.68
2024-04-27,Saturday,TVs,126399.77,169,SpringSale,404144.77999999997,763,529.68
2024-04-28,Sunday,AirSolutions,25381.96,56,SpringSale,372294.16000000003,688,541.13
2024-04-28,Sunday,Audio,16855.21,140,SpringSale,372294.16000000003,688,541.13
2024-04-28,Sunday,HomeAppliances,96592.35,176,SpringSale,372294.16000000003,688,541.13
2024-04-28,Sunday,IT,53334.45,63,SpringSale,372294.16000000003,688,541.13
2024-04-28,Sunday,Mobile,60391.01,93,SpringSale,372294.16000000003,688,541.13
2024-04-28,Sunday,TVs,119739.18,160,SpringSale,372294.16000000003,688,541.13
2024-04-29,Monday,AirSolutions,18549.09,41,None,247835.56000000003,475,521.76
2024-04-29,Monday,Audio,13244.17,110,None,247835.56000000003,475,521.76
2024-04-29,Monday,HomeAppliances,67318.06,122,None,247835.56000000003,475,521.76
2024-04-29,Monday,IT,35819.25,42,None,247835.56000000003,475,521.76
2024-04-29,Monday,Mobile,48179.01,74,None,247835.56000000003,475,521.76
2024-04-29,Monday,TVs,64725.98,86,None,247835.56000000003,475,521.76
2024-04-30,Tuesday,AirSolutions,23271.63,52,None,299021.85000000003,557,536.84
2024-04-30,Tuesday,Audio,12949.08,108,None,299021.85000000003,557,536.84
2024-04-30,Tuesday,HomeAppliances,81679.81,149,None,299021.85000000003,557,536.84
2024-04-30,Tuesday,IT,39063.09,46,None,299021.85000000003,557,536.84
2024-04-30,Tuesday,Mobile,58293.96,90,None,299021.85000000003,557,536.84
2024-04-30,Tuesday,TVs,83764.28,112,None,299021.85000000003,557,536.84
2024-05-01,Wednesday,AirSolutions,29628.27,66,None,347327.38000000006,653,531.89
2024-05-01,Wednesday,Audio,16035.84,134,None,347327.38000000006,653,531.89
2024-05-01,Wednesday,HomeAppliances,93080.46,169,None,347327.38000000006,653,531.89
2024-05-01,Wednesday,IT,54591.29,64,None,347327.38000000006,653,531.89
2024-05-01,Wednesday,Mobile,70954.22,109,None,347327.38000000006,653,531.89
2024-05-01,Wednesday,TVs,83037.3,111,None,347327.38000000006,653,531.89
2024-05-02,Thursday,AirSolutions,32691.09,73,None,373206.78,698,534.68
2024-05-02,Thursday,Audio,16405.38,137,None,373206.78,698,534.68
2024-05-02,Thursday,HomeAppliances,100558.77,183,None,373206.78,698,534.68
2024-05-02,Thursday,IT,51652.68,61,None,373206.78,698,534.68
2024-05-02,Thursday,Mobile,70575.31,109,None,373206.78,698,534.68
2024-05-02,Thursday,TVs,101323.55,135,None,373206.78,698,534.68
2024-05-03,Friday,AirSolutions,32108.55,71,None,422997.50999999995,814,519.65
2024-05-03,Friday,Audio,21829.49,182,None,422997.50999999995,814,519.65
2024-05-03,Friday,HomeAppliances,123158.89,224,None,422997.50999999995,814,519.65
2024-05-03,Friday,IT,51971.22,61,None,422997.50999999995,814,519.65
2024-05-03,Friday,Mobile,82356.13,127,None,422997.50999999995,814,519.65
2024-05-03,Friday,TVs,111573.23,149,None,422997.50999999995,814,519.65
2024-05-04,Saturday,AirSolutions,25414.59,56,None,314046.82000000007,590,532.28
2024-05-04,Saturday,Audio,14743.59,123,None,314046.82000000007,590,532.28
2024-05-04,Saturday,HomeAppliances,79329.24,144,None,314046.82000000007,590,532.28
2024-05-04,Saturday,IT,42966.6,51,None,314046.82000000007,590,532.28
2024-05-04,Saturday,Mobile,66020.16,102,None,314046.82000000007,590,532.28
2024-05-04,Saturday,TVs,85572.64,114,None,314046.82000000007,590,532.28
2024-05-05,Sunday,AirSolutions,29837.17,66,None,365378.37,696,524.97
2024-05-05,Sunday,Audio,18727.74,156,None,365378.37,696,524.97
2024-05-05,Sunday,HomeAppliances,90680.46,165,None,365378.37,696,524.97
2024-05-05,Sunday,IT,49018.45,58,None,365378.37,696,524.97
2024-05-05,Sunday,Mobile,73333.06,113,None,365378.37,696,524.97
2024-05-05,Sunday,TVs,103781.49,138,None,365378.37,696,524.97
2024-05-06,Monday,AirSolutions,23856.81,53,None,282780.9,526,537.61
2024-05-06,Monday,Audio,12404.01,103,None,282780.9,526,537.61
2024-05-06,Monday,HomeAppliances,73497.19,134,None,282780.9,526,537.61
2024-05-06,Monday,IT,37711.58,44,None,282780.9,526,537.61
2024-05-06,Monday,Mobile,58043.36,89,None,282780.9,526,537.61
2024-05-06,Monday,TVs,77267.95,103,None,282780.9,526,537.61
2024-05-07,Tuesday,AirSolutions,25045.31,56,None,327912.77999999997,617,531.46
2024-05-07,Tuesday,Audio,14435.18,120,None,327912.77999999997,617,531.46
2024-05-07,Tuesday,HomeAppliances,97873.77,178,None,327912.77999999997,617,531.46
2024-05-07,Tuesday,IT,42406.01,50,None,327912.77999999997,617,531.46
2024-05-07,Tuesday,Mobile,72605.65,112,None,327912.77999999997,617,531.46
2024-05-07,Tuesday,TVs,75546.86,101,None,327912.77999999997,617,531.46
2024-05-08,Wednesday,AirSolutions,33765.22,75,None,375977.55999999994,717,524.38
2024-05-08,Wednesday,Audio,18773.0,156,None,375977.55999999994,717,524.38
2024-05-08,Wednesday,HomeAppliances,102245.48,186,None,375977.55999999994,717,524.38
2024-05-08,Wednesday,IT,52435.78,62,None,375977.55999999994,717,524.38
2024-05-08,Wednesday,Mobile,63438.37,98,None,375977.55999999994,717,524.38
2024-05-08,Wednesday,TVs,105319.71,140,None,375977.55999999994,717,524.38
2024-05-09,Thursday,AirSolutions,29443.24,65,None,357540.76999999996,672,532.05
2024-05-09,Thursday,Audio,16855.49,140,None,357540.76999999996,672,532.05
2024-05-09,Thursday,HomeAppliances,95243.92,173,None,357540.76999999996,672,532.05
2024-05-09,Thursday,IT,49656.69,58,None,357540.76999999996,672,532.05
2024-05-09,Thursday,Mobile,66045.49,102,None,357540.76999999996,672,532.05
2024-05-09,Thursday,TVs,100295.94,134,None,357540.76999999996,672,532.05
2024-05-10,Friday,AirSolutions,27307.9,61,None,381012.59,712,535.13
2024-05-10,Friday,Audio,17796.58,148,None,381012.59,712,535.13
2024-05-10,Friday,HomeAppliances,98543.64,179,None,381012.59,712,535.13
2024-05-10,Friday,IT,49996.36,59,None,381012.59,712,535.13
2024-05-10,Friday,Mobile,74587.86,115,None,381012.59,712,535.13
2024-05-10,Friday,TVs,112780.25,150,None,381012.59,712,535.13
2024-05-11,Saturday,AirSolutions,34304.51,76,None,391845.17,752,521.07
2024-05-11,Saturday,Audio,19624.07,164,None,391845.17,752,521.07
2024-05-11,Saturday,HomeAppliances,111488.58,203,None,391845.17,752,521.07
2024-05-11,Saturday,IT,56596.38,67,None,391845.17,752,521.07
2024-05-11,Saturday,Mobile,76904.84,118,None,391845.17,752,521.07
2024-05-11,Saturday,TVs,92926.79,124,None,391845.17,752,521.07
2024-05-12,Sunday,AirSolutions,26603.86,59,None,342382.89999999997,654,523.52
2024-05-12,Sunday,Audio,16763.06,140,None,342382.89999999997,654,523.52
2024-05-12,Sunday,HomeAppliances,102044.62,186,None,342382.89999999997,654,523.52
2024-05-12,Sunday,IT,44823.51,53,None,342382.89999999997,654,523.52
2024-05-12,Sunday,Mobile,65535.72,101,None,342382.89999999997,654,523.52
2024-05-12,Sunday,TVs,86612.13,115,None,342382.89999999997,654,523.52
2024-05-13,Monday,AirSolutions,22839.43,51,None,263212.93999999994,509,517.12
2024-05-13,Monday,Audio,13801.17,115,None,263212.93999999994,509,517.12
2024-05-13,Monday,HomeAppliances,74105.14,135,None,263212.93999999994,509,517.12
2024-05-13,Monday,IT,39112.21,46,None,263212.93999999994,509,517.12
2024-05-13,Monday,Mobile,49771.65,77,None,263212.93999999994,509,517.12
2024-05-13,Monday,TVs,63583.34,85,None,263212.93999999994,509,517.12
2024-05-14,Tuesday,AirSolutions,31124.41,69,None,395465.87999999995,742,532.97
2024-05-14,Tuesday,Audio,17648.24,147,None,395465.87999999995,742,532.97
2024-05-14,Tuesday,HomeAppliances,109921.35,200,None,395465.87999999995,742,532.97
2024-05-14,Tuesday,IT,54025.47,64,None,395465.87999999995,742,532.97
2024-05-14,Tuesday,Mobile,85495.67,132,None,395465.87999999995,742,532.97
2024-05-14,Tuesday,TVs,97250.74,130,None,395465.87999999995,742,532.97
2024-05-15,Wednesday,AirSolutions,29278.96,65,None,345881.06000000006,649,532.94
2024-05-15,Wednesday,Audio,16109.39,134,None,345881.06000000006,649,532.94
2024-05-15,Wednesday,HomeAppliances,86231.61,157,None,345881.06000000006,649,532.94
2024-05-15,Wednesday,IT,44503.51,52,None,345881.06000000006,649,532.94
2024-05-15,Wednesday,Mobile,70027.14,108,None,345881.06000000006,649,532.94
2024-05-15,Wednesday,TVs,99730.45,133,None,345881.06000000006,649,532.94
2024-05-16,Thursday,AirSolutions,25845.77,57,None,319747.21,613,521.61
2024-05-16,Thursday,Audio,16539.39,138,None,319747.21,613,521.61
2024-05-16,Thursday,HomeAppliances,86307.34,157,None,319747.21,613,521.61
2024-05-16,Thursday,IT,40828.51,48,None,319747.21,613,521.61
2024-05-16,Thursday,Mobile,65881.15,101,None,319747.21,613,521.61
2024-05-16,Thursday,TVs,84345.05,112,None,319747.21,613,521.61
2024-05-17,Friday,AirSolutions,36823.65,82,None,418188.88000000006,774,540.3
2024-05-17,Friday,Audio,18042.07,150,None,418188.88000000006,774,540.3
2024-05-17,Friday,HomeAppliances,103839.24,189,None,418188.88000000006,774,540.3
2024-05-17,Friday,IT,54751.14,64,None,418188.88000000006,774,540.3
2024-05-17,Friday,Mobile,78247.24,120,None,418188.88000000006,774,540.3
2024-05-17,Friday,TVs,126485.54,169,None,418188.88000000006,774,540.3
2024-05-18,Saturday,AirSolutions,36676.99,82,None,389230.82,741,525.28
2024-05-18,Saturday,Audio,19340.07,161,None,389230.82,741,525.28
2024-05-18,Saturday,HomeAppliances,95086.33,173,None,389230.82,741,525.28
2024-05-18,Saturday,IT,52891.47,62,None,389230.82,741,525.28
2024-05-18,Saturday,Mobile,77497.27,119,None,389230.82,741,525.28
2024-05-18,Saturday,TVs,107738.69,144,None,389230.82,741,525.28
2024-05-19,Sunday,AirSolutions,30180.94,67,None,358587.42,683,525.02
2024-05-19,Sunday,Audio,17587.82,147,None,358587.42,683,525.02
2024-05-19,Sunday,HomeAppliances,95414.04,173,None,358587.42,683,525.02
2024-05-19,Sunday,IT,50041.56,59,None,358587.42,683,525.02
2024-05-19,Sunday,Mobile,81900.05,126,None,358587.42,683,525.02
2024-05-19,Sunday,TVs,83463.01,111,None,358587.42,683,525.02
2024-05-20,Monday,AirSolutions,25561.73,57,None,303607.01999999996,573,529.86
2024-05-20,Monday,Audio,14666.3,122,None,303607.01999999996,573,529.86
2024-05-20,Monday,HomeAppliances,79067.12,144,None,303607.01999999996,573,529.86
2024-05-20,Monday,IT,46575.19,55,None,303607.01999999996,573,529.86
2024-05-20,Monday,Mobile,55931.13,86,None,303607.01999999996,573,529.86
2024-05-20,Monday,TVs,81805.55,109,None,303607.01999999996,573,529.86
2024-05-21,Tuesday,AirSolutions,28952.83,64,None,337869.03,624,541.46
2024-05-21,Tuesday,Audio,14300.27,119,None,337869.03,624,541.46
2024-05-21,Tuesday,HomeAppliances,84550.51,154,None,337869.03,624,541.46
2024-05-21,Tuesday,IT,44947.31,53,None,337869.03,624,541.46
2024-05-21,Tuesday,Mobile,67301.45,104,None,337869.03,624,541.46
2024-05-21,Tuesday,TVs,97816.66,130,None,337869.03,624,541.46
2024-05-22,Wednesday,AirSolutions,27130.62,60,None,316639.17,595,532.17
2024-05-22,Wednesday,Audio,14589.68,122,None,316639.17,595,532.17
2024-05-22,Wednesday,HomeAppliances,79572.76,145,None,316639.17,595,532.17
2024-05-22,Wednesday,IT,44128.62,52,None,316639.17,595,532.17
2024-05-22,Wednesday,Mobile,69998.72,108,None,316639.17,595,532.17
2024-05-22,Wednesday,TVs,81218.77,108,None,316639.17,595,532.17
2024-05-23,Thursday,AirSolutions,31925.3,71,None,365436.05,677,539.79
2024-05-23,Thursday,Audio,15618.25,130,None,365436.05,677,539.79
2024-05-23,Thursday,HomeAppliances,94624.04,172,None,365436.05,677,539.79
2024-05-23,Thursday,IT,47987.4,56,None,365436.05,677,539.79
2024-05-23,Thursday,Mobile,73017.0,112,None,365436.05,677,539.79
2024-05-23,Thursday,TVs,102264.06,136,None,365436.05,677,539.79
2024-05-24,Friday,AirSolutions,27034.11,60,None,379524.9699999999,702,540.63
2024-05-24,Friday,Audio,16403.61,137,None,379524.9699999999,702,540.63
2024-05-24,Friday,HomeAppliances,99613.28,181,None,379524.9699999999,702,540.63
2024-05-24,Friday,IT,50769.04,60,None,379524.9699999999,702,540.63
2024-05-24,Friday,Mobile,78603.5,121,None,379524.9699999999,702,540.63
2024-05-24,Friday,TVs,107101.43,143,None,379524.9699999999,702,540.63
2024-05-25,Saturday,AirSolutions,38657.12,86,None,422672.86,819,516.08
2024-05-25,Saturday,Audio,22852.3,190,None,422672.86,819,516.08
2024-05-25,Saturday,HomeAppliances,118810.27,216,None,422672.86,819,516.08
2024-05-25,Saturday,IT,68726.01,81,None,422672.86,819,516.08
2024-05-25,Saturday,Mobile,71346.63,110,None,422672.86,819,516.08
2024-05-25,Saturday,TVs,102280.53,136,None,422672.86,819,516.08
2024-05-26,Sunday,AirSolutions,25734.08,57,None,319475.02999999997,608,525.45
2024-05-26,Sunday,Audio,15699.66,131,None,319475.02999999997,608,525.45
2024-05-26,Sunday,HomeAppliances,86600.99,157,None,319475.02999999997,608,525.45
2024-05-26,Sunday,IT,36951.56,43,None,319475.02999999997,608,525.45
2024-05-26,Sunday,Mobile,67031.62,103,None,319475.02999999997,608,525.45
2024-05-26,Sunday,TVs,87457.12,117,None,319475.02999999997,608,525.45
2024-05-27,Monday,AirSolutions,25258.72,56,None,316521.85000000003,601,526.66
2024-05-27,Monday,Audio,15504.34,129,None,316521.85000000003,601,526.66
2024-05-27,Monday,HomeAppliances,88718.93,161,None,316521.85000000003,601,526.66
2024-05-27,Monday,IT,44076.19,52,None,316521.85000000003,601,526.66
2024-05-27,Monday,Mobile,59293.83,91,None,316521.85000000003,601,526.66
2024-05-27,Monday,TVs,83669.84,112,None,316521.85000000003,601,526.66
2024-05-28,Tuesday,AirSolutions,31112.83,69,None,371685.04000000004,685,542.61
2024-05-28,Tuesday,Audio,15751.29,131,None,371685.04000000004,685,542.61
2024-05-28,Tuesday,HomeAppliances,85627.74,156,None,371685.04000000004,685,542.61
2024-05-28,Tuesday,IT,47902.27,56,None,371685.04000000004,685,542.61
2024-05-28,Tuesday,Mobile,86513.24,133,None,371685.04000000004,685,542.61
